input_data: 
1 13 20 18
2 25 35 2
3 15 10 6
4 20 2 11
5 4 21 19
6 11 39 5
7 5 41 3
8 2 24 6
Tick: 0 Tick: 1 Tick: 2 pid: 8, time_on_cpu: 1, time_left: 23 
Tick: 3 pid: 8, time_on_cpu: 2, time_left: 22 
Tick: 4 pid: 8, time_on_cpu: 3, time_left: 21 
Tick: 5 pid: 8, time_on_cpu: 4, time_left: 20 
Tick: 6 pid: 8, time_on_cpu: 5, time_left: 19 
Tick: 7 pid: 8, time_on_cpu: 6, time_left: 18 
Tick: 8 pid: 8, time_on_cpu: 7, time_left: 17 
Tick: 9 pid: 8, time_on_cpu: 8, time_left: 16 
Tick: 10 pid: 8, time_on_cpu: 9, time_left: 15 
Tick: 11 pid: 8, time_on_cpu: 10, time_left: 14 
Tick: 12 pid: 8, time_on_cpu: 11, time_left: 13 
Tick: 13 pid: 8, time_on_cpu: 12, time_left: 12 
Tick: 14 pid: 8, time_on_cpu: 13, time_left: 11 
Tick: 15 pid: 8, time_on_cpu: 14, time_left: 10 
Tick: 16 pid: 8, time_on_cpu: 15, time_left: 9 
Tick: 17 pid: 8, time_on_cpu: 16, time_left: 8 
Tick: 18 pid: 8, time_on_cpu: 17, time_left: 7 
Tick: 19 pid: 8, time_on_cpu: 18, time_left: 6 
Tick: 20 pid: 8, time_on_cpu: 19, time_left: 5 
Tick: 21 pid: 8, time_on_cpu: 20, time_left: 4 
Tick: 22 pid: 8, time_on_cpu: 21, time_left: 3 
Tick: 23 pid: 8, time_on_cpu: 22, time_left: 2 
Tick: 24 pid: 8, time_on_cpu: 23, time_left: 1 
Tick: 25 pid: 8, time_on_cpu: 24, time_left: 0 
Tick: 26 pid: 5, time_on_cpu: 1, time_left: 20 
Tick: 27 pid: 5, time_on_cpu: 2, time_left: 19 
Tick: 28 pid: 5, time_on_cpu: 3, time_left: 18 
Tick: 29 pid: 5, time_on_cpu: 4, time_left: 17 
Tick: 30 pid: 5, time_on_cpu: 5, time_left: 16 
Tick: 31 pid: 5, time_on_cpu: 6, time_left: 15 
Tick: 32 pid: 5, time_on_cpu: 7, time_left: 14 
Tick: 33 pid: 5, time_on_cpu: 8, time_left: 13 
Tick: 34 pid: 5, time_on_cpu: 9, time_left: 12 
Tick: 35 pid: 5, time_on_cpu: 10, time_left: 11 
Tick: 36 pid: 5, time_on_cpu: 11, time_left: 10 
Tick: 37 pid: 5, time_on_cpu: 12, time_left: 9 
Tick: 38 pid: 5, time_on_cpu: 13, time_left: 8 
Tick: 39 pid: 5, time_on_cpu: 14, time_left: 7 
Tick: 40 pid: 5, time_on_cpu: 15, time_left: 6 
Tick: 41 pid: 5, time_on_cpu: 16, time_left: 5 
Tick: 42 pid: 5, time_on_cpu: 17, time_left: 4 
Tick: 43 pid: 5, time_on_cpu: 18, time_left: 3 
Tick: 44 pid: 5, time_on_cpu: 19, time_left: 2 
Tick: 45 pid: 5, time_on_cpu: 20, time_left: 1 
Tick: 46 pid: 5, time_on_cpu: 21, time_left: 0 
Tick: 47 pid: 7, time_on_cpu: 1, time_left: 40 
Tick: 48 pid: 7, time_on_cpu: 2, time_left: 39 
Tick: 49 pid: 7, time_on_cpu: 3, time_left: 38 
Tick: 50 pid: 7, time_on_cpu: 4, time_left: 37 
Tick: 51 pid: 7, time_on_cpu: 5, time_left: 36 
Tick: 52 pid: 7, time_on_cpu: 6, time_left: 35 
